,init_value,epsilon,alpha,gamma,Total Steps,Reached Dest.,Total Reward
13,0,0.2,0.7,0.7,28982,74,3359
5,0,0.1,0.7,0.9,36266,55,3261
0,0,0.1,0.3,0.4,22589,82,3245
9,0,0.2,0.3,0.4,19505,82,3174.5
4,0,0.1,0.7,0.7,33482,57,3171.5
7,0,0.1,0.9,0.7,30108,59,3165.5
15,0,0.2,0.9,0.4,20983,81,3165
14,0,0.2,0.7,0.9,39792,36,3153
10,0,0.2,0.3,0.7,18941,87,3149.5
12,0,0.2,0.7,0.4,17980,90,3108.5
25,0,0.4,0.9,0.7,36844,52,3050
18,0,0.4,0.3,0.4,30829,65,3030
17,0,0.2,0.9,0.9,27696,55,3029.5
8,0,0.1,0.9,0.9,31413,51,3011
21,0,0.4,0.7,0.4,26416,73,2966
1,0,0.1,0.3,0.7,18465,81,2955
3,0,0.1,0.7,0.4,11746,94,2954.5
16,0,0.2,0.9,0.7,28638,49,2933
6,0,0.1,0.9,0.4,13306,98,2915.5
19,0,0.4,0.3,0.7,24049,70,2896.5
24,0,0.4,0.9,0.4,24888,64,2874.5
20,0,0.4,0.3,0.9,35287,52,2859.5
26,0,0.4,0.9,0.9,34358,44,2826.5
22,0,0.4,0.7,0.7,32487,40,2786
11,0,0.2,0.3,0.9,25701,54,2784.5
2,0,0.1,0.3,0.9,43071,16,2760
23,0,0.4,0.7,0.9,35417,37,2703
