,init_value,epsilon,alpha,gamma,Total Steps,Reached Dest.
0,0.0,0.1,0.3,0.4,19879.0,79.0
1,0.0,0.1,0.3,0.7,19894.0,80.0
2,0.0,0.1,0.3,0.9,45965.0,12.0
3,0.0,0.1,0.7,0.4,22423.0,72.0
4,0.0,0.1,0.7,0.7,28565.0,59.0
5,0.0,0.1,0.7,0.9,37424.0,37.0
6,0.0,0.1,0.9,0.4,13167.0,93.0
7,0.0,0.1,0.9,0.7,23290.0,73.0
8,0.0,0.1,0.9,0.9,31410.0,61.0
9,0.0,0.2,0.3,0.4,17060.0,89.0
10,0.0,0.2,0.3,0.7,23574.0,65.0
11,0.0,0.2,0.3,0.9,33962.0,52.0
12,0.0,0.2,0.7,0.4,21841.0,80.0
13,0.0,0.2,0.7,0.7,30266.0,66.0
14,0.0,0.2,0.7,0.9,42202.0,28.0
15,0.0,0.2,0.9,0.4,18904.0,91.0
16,0.0,0.2,0.9,0.7,28365.0,56.0
17,0.0,0.2,0.9,0.9,25227.0,62.0
18,0.0,0.4,0.3,0.4,26976.0,70.0
19,0.0,0.4,0.3,0.7,30596.0,53.0
20,0.0,0.4,0.3,0.9,40239.0,34.0
21,0.0,0.4,0.7,0.4,25433.0,72.0
22,0.0,0.4,0.7,0.7,28246.0,56.0
23,0.0,0.4,0.7,0.9,35336.0,39.0
24,0.0,0.4,0.9,0.4,29469.0,68.0
25,0.0,0.4,0.9,0.7,32884.0,55.0
26,0.0,0.4,0.9,0.9,39797.0,32.0
